Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Kali Products        [ÿproductÿdetailsÿ],Preroll 0.5g,1458,0.66,4.13,6.2x,416973
Ninja Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,6748,0.83,2.8,3.4x,417001
Sourface        [ÿproductÿdetailsÿ],Preroll 1.0g,16067,0.89,3.06,3.4x,412679
Green & Golden        [ÿproductÿdetailsÿ],Preroll 0.5g,2802,0.99,3.66,3.7x,415710
Nettles Unlimited        [ÿproductÿdetailsÿ],Preroll 0.5g,2009,1,3.5,3.5x,412762
Medusa Gardens        [ÿproductÿdetailsÿ],Preroll 0.75g,1130,1,3.89,3.9x,412294
Blacksmith Farms        [ÿproductÿdetailsÿ],Preroll 0.75g,1039,1,4.13,4.1x,413622
Fantasy Farms LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,9984,1,2.93,2.9x,413858
Canna Herb Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1159,1,3.97,4.0x,412947
Washington Packaging And Processing        [ÿproductÿdetailsÿ],Preroll 1.0g,8202,1.04,3.7,3.6x,424045
Okanogan Natural Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,12555,1.07,4.09,3.8x,413170
Ladyhelm Farm        [ÿproductÿdetailsÿ],Flower 1.0g,1325,1.08,4.88,4.5x,412372
Green Haven LLC        [ÿproductÿdetailsÿ],Preroll 0.5g,3975,1.12,4.14,3.7x,421941
Northwest Grown Products        [ÿproductÿdetailsÿ],Preroll 0.5g,2139,1.15,4.63,4.0x,416462
Alis Group        [ÿproductÿdetailsÿ],Preroll 0.5g,1433,1.21,4.5,3.7x,415700
Crystal Forest Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,6931,1.22,4.56,3.7x,415694
Top Shelf        [ÿproductÿdetailsÿ],Preroll 0.5g,2855,1.24,4.71,3.8x,423396
Trichometechnologies        [ÿproductÿdetailsÿ],Preroll 1.0g,1718,1.25,4.17,3.3x,412362
Ninja Gardens        [ÿproductÿdetailsÿ],Preroll 1.0g,26428,1.25,4.52,3.6x,417001
Okanogan Natural Farms        [ÿproductÿdetailsÿ],Flower 1.0g,5028,1.25,4.26,3.4x,413170
Solar Joes        [ÿproductÿdetailsÿ],Preroll 0.5g,7259,1.26,4.44,3.5x,415819
Canna Herb Farms        [ÿproductÿdetailsÿ],Flower 3.5g,2602,1.26,7.97,6.3x,412947
Kush Valley        [ÿproductÿdetailsÿ],Preroll 1.0g,10817,1.27,4.68,3.7x,416606
Agro Technic        [ÿproductÿdetailsÿ],Preroll 1.0g,4290,1.3,4.76,3.7x,412266
Rainier Acres        [ÿproductÿdetailsÿ],Preroll 0.5g,1706,1.31,4.71,3.6x,416942
Sourface        [ÿproductÿdetailsÿ],Flower 1.0g,5272,1.31,4.13,3.1x,412679
Kali Products        [ÿproductÿdetailsÿ],Preroll 1.0g,18230,1.32,4.77,3.6x,416973
Tumbleweed Farm        [ÿproductÿdetailsÿ],Flower 1.0g,1435,1.36,5.33,3.9x,412084
Mno        [ÿproductÿdetailsÿ],Preroll 0.5g,1250,1.38,3.99,2.9x,413090
Origens        [ÿproductÿdetailsÿ],Preroll 1.0g,1162,1.38,7.19,5.2x,412891
Alis Group        [ÿproductÿdetailsÿ],Preroll 1.0g,9316,1.39,5.44,3.9x,415700
Gensys One        [ÿproductÿdetailsÿ],Flower 1.0g,2240,1.4,5.5,3.9x,412593
Budco Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,15079,1.44,4.44,3.1x,412902
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 0.5g,9003,1.45,4.68,3.2x,412097
Sitka Packaging        [ÿproductÿdetailsÿ],Preroll 0.5g,50398,1.45,4.61,3.2x,412952
Eco Ventures        [ÿproductÿdetailsÿ],Preroll 0.5g,4774,1.45,5.42,3.8x,416853
Green Freedom        [ÿproductÿdetailsÿ],Preroll 0.5g,24212,1.46,4.81,3.3x,412515
Golden Tree        [ÿproductÿdetailsÿ],Preroll 0.5g,64209,1.47,4.53,3.1x,416107
Orgrow        [ÿproductÿdetailsÿ],Preroll 0.75g,7248,1.47,4.54,3.1x,412784
Binx Buds        [ÿproductÿdetailsÿ],Preroll 1.0g,1665,1.47,4.39,3.0x,425099
North Coast Concentrates        [ÿproductÿdetailsÿ],Infused,1978,1.47,11.2,7.6x,79912
Going Green        [ÿproductÿdetailsÿ],Preroll 1.0g,3218,1.49,5.28,3.6x,413110
Root Down        [ÿproductÿdetailsÿ],Preroll 0.5g,1050,1.5,2.94,2.0x,412273
Green Island Growers        [ÿproductÿdetailsÿ],Preroll 0.5g,1476,1.5,4.7,3.1x,412950
Blacksmith Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,2085,1.5,4.71,3.1x,413622
Surefire Growers        [ÿproductÿdetailsÿ],Preroll 0.5g,12759,1.5,4.65,3.1x,415813
Zenta Garden        [ÿproductÿdetailsÿ],Preroll 0.5g,1050,1.5,5.46,3.6x,423681
Heavyweight Heights        [ÿproductÿdetailsÿ],Preroll 0.75g,1050,1.5,5.1,3.4x,417024
Hash Way Recreational        [ÿproductÿdetailsÿ],Preroll 0.75g,1088,1.5,5.01,3.3x,421873
Prince Farms        [ÿproductÿdetailsÿ],Preroll 0.75g,1800,1.5,4.71,3.1x,422368
Hannah Industries        [ÿproductÿdetailsÿ],Preroll 0.75g,5271,1.5,6.46,4.3x,424223
Silica Phoenix        [ÿproductÿdetailsÿ],Preroll 1.0g,1017,1.5,5.35,3.6x,412236
Cinc-o-dos        [ÿproductÿdetailsÿ],Preroll 1.0g,1575,1.5,5.26,3.5x,412566
Twenty Plus        [ÿproductÿdetailsÿ],Preroll 1.0g,7916,1.5,4.86,3.2x,413088
Big Ridge Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,2052,1.5,4.45,3.0x,413139
Winter Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,7234,1.5,5.16,3.4x,416130
Farmer LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,1500,1.5,5.24,3.5x,416966
Pinoy Inc        [ÿproductÿdetailsÿ],Preroll 2.0g,1356,1.5,7.56,5.0x,424047
Big Ridge Farms        [ÿproductÿdetailsÿ],Flower 1.0g,14278,1.5,4.7,3.1x,413139
Fc Processor-3        [ÿproductÿdetailsÿ],Flower 1.0g,1696,1.51,5.67,3.8x,413952
Carson Unlimited        [ÿproductÿdetailsÿ],Flower 1.0g,12592,1.51,5.32,3.5x,420287
Bmf Washington        [ÿproductÿdetailsÿ],Preroll 0.5g,38735,1.52,4.53,3.0x,412149
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 0.75g,3535,1.52,5.15,3.4x,412097
Anchor Bakery        [ÿproductÿdetailsÿ],Infused,1755,1.52,6.61,4.3x,415961
Cultivar Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,2151,1.54,4.66,3.0x,417095
High State Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1610,1.54,6.84,4.4x,412573
Forbidden Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,6587,1.55,4.47,2.9x,412274
K&m Growers        [ÿproductÿdetailsÿ],Flower 1.0g,18462,1.55,5.05,3.3x,412249
Redtail        [ÿproductÿdetailsÿ],Flower 1.0g,2632,1.55,5.93,3.8x,416310
Fine Detail Greenway        [ÿproductÿdetailsÿ],Preroll 0.5g,11034,1.57,4.83,3.1x,412400
Coastal Enterprises        [ÿproductÿdetailsÿ],Preroll 0.5g,12592,1.57,4.95,3.1x,412408
Quality Cannabis Producing And Processing        [ÿproductÿdetailsÿ],Flower 1.0g,1814,1.57,5.6,3.6x,412130
Evergreen Production        [ÿproductÿdetailsÿ],Preroll 0.5g,3345,1.58,4.82,3.0x,412815
Jms. Consultants        [ÿproductÿdetailsÿ],Preroll 0.5g,4400,1.6,4.61,2.9x,416423
Viva Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,20777,1.6,5.4,3.4x,416609
