Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Ninja Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,8428,0.84,3.15,3.7x,417001
Northwest Grown Products        [ÿproductÿdetailsÿ],Preroll 0.5g,4811,0.98,3.94,4.0x,416462
Green & Golden        [ÿproductÿdetailsÿ],Preroll 0.5g,2846,0.99,3.62,3.7x,415710
Gensys One        [ÿproductÿdetailsÿ],Preroll 0.5g,1568,1,2.92,2.9x,412593
Nettles Unlimited        [ÿproductÿdetailsÿ],Preroll 0.5g,2300,1,3.43,3.4x,412762
Cowlitz County Cannabis Cultivation        [ÿproductÿdetailsÿ],Preroll 0.75g,1000,1,3.77,3.8x,416502
Medicine Woman        [ÿproductÿdetailsÿ],Preroll 0.5g,1062,1.15,4.55,3.9x,413179
Sourface        [ÿproductÿdetailsÿ],Preroll 1.0g,8160,1.2,3.47,2.9x,412679
Emerald City Growers        [ÿproductÿdetailsÿ],Preroll 1.0g,2402,1.2,4.88,4.1x,416433
Ninja Gardens        [ÿproductÿdetailsÿ],Preroll 1.0g,18305,1.21,4.8,4.0x,417001
Solar Joes        [ÿproductÿdetailsÿ],Preroll 0.5g,8498,1.24,4.38,3.5x,415819
Top Shelf        [ÿproductÿdetailsÿ],Preroll 0.5g,2835,1.24,4.43,3.6x,423396
Heavyweight Heights        [ÿproductÿdetailsÿ],Preroll 0.75g,1205,1.24,5.47,4.4x,417024
Fc Processor-3        [ÿproductÿdetailsÿ],Preroll 1.0g,4102,1.24,5.83,4.7x,413952
Cordus        [ÿproductÿdetailsÿ],Preroll 0.5g,1462,1.25,5.65,4.5x,418921
Green Haven LLC        [ÿproductÿdetailsÿ],Preroll 0.5g,1312,1.25,4.42,3.5x,421941
Gensys One        [ÿproductÿdetailsÿ],Preroll 1.0g,2089,1.25,4.88,3.9x,412593
Tahoma Growers        [ÿproductÿdetailsÿ],Flower 1.0g,1875,1.25,4.87,3.9x,417121
Washington Source        [ÿproductÿdetailsÿ],Flower 1.0g,1000,1.25,4.42,3.5x,418443
Kush Valley        [ÿproductÿdetailsÿ],Preroll 1.0g,8115,1.27,4.39,3.4x,416606
Vulcan Mountain Farm        [ÿproductÿdetailsÿ],Preroll 0.5g,3174,1.28,3.7,2.9x,413711
Eco Ventures        [ÿproductÿdetailsÿ],Preroll 0.5g,1365,1.29,3.91,3.0x,416853
Going Green        [ÿproductÿdetailsÿ],Preroll 1.0g,2735,1.29,5.3,4.1x,413110
Okanogan Natural Farms        [ÿproductÿdetailsÿ],Flower 1.0g,6036,1.29,4.13,3.2x,413170
Kali Products        [ÿproductÿdetailsÿ],Preroll 1.0g,14490,1.3,4.99,3.8x,416973
Fc Processor-3        [ÿproductÿdetailsÿ],Flower 1.0g,3369,1.31,4.73,3.6x,413952
Redtail        [ÿproductÿdetailsÿ],Flower 1.0g,1224,1.32,4.16,3.1x,416310
Blacksmith Farms        [ÿproductÿdetailsÿ],Preroll 0.75g,7965,1.35,3.86,2.9x,413622
Poorman Enterprises        [ÿproductÿdetailsÿ],Preroll 1.0g,3885,1.37,4.88,3.6x,415921
Fantasy Farms LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,12500,1.38,2.94,2.1x,413858
Miller Marijuana Farms        [ÿproductÿdetailsÿ],Flower 1.0g,3112,1.39,5.6,4.0x,423175
Alis Group        [ÿproductÿdetailsÿ],Preroll 0.5g,3235,1.41,4.37,3.1x,415700
Budco Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,10846,1.42,4.47,3.1x,412902
