Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Ninja Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,4270,0.87,2.77,3.2x,417001
Jv Ranch        [ÿproductÿdetailsÿ],Preroll 0.5g,1237,0.95,0.98,1.0x,416125
Green & Golden        [ÿproductÿdetailsÿ],Preroll 0.5g,3762,0.99,3.34,3.4x,415710
Buddy Boy Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,1200,1,5.78,5.8x,412053
Kouchlock Productions        [ÿproductÿdetailsÿ],Preroll 0.5g,1350,1,4.78,4.8x,412630
Cowlitz County Cannabis Cultivation        [ÿproductÿdetailsÿ],Preroll 0.75g,3885,1,3.9,3.9x,416502
Good Vibes Cannabis Company        [ÿproductÿdetailsÿ],Preroll 0.75g,1150,1.04,5.15,5.0x,412830
Fc Processor-3        [ÿproductÿdetailsÿ],Preroll 1.0g,7894,1.05,4.85,4.6x,413952
Ninja Gardens        [ÿproductÿdetailsÿ],Preroll 1.0g,10360,1.09,4.37,4.0x,417001
Agrijuana        [ÿproductÿdetailsÿ],Preroll 0.5g,1288,1.14,4.6,4.0x,415998
Sourface        [ÿproductÿdetailsÿ],Preroll 1.0g,13865,1.14,3.77,3.3x,412679
Northwest Grown Products        [ÿproductÿdetailsÿ],Preroll 0.5g,10660,1.15,4.09,3.6x,416462
Ladera Farms        [ÿproductÿdetailsÿ],Preroll 0.75g,1380,1.15,3.28,2.9x,417301
Cordus        [ÿproductÿdetailsÿ],Preroll 0.5g,2172,1.19,5.85,4.9x,418921
Agro Technic        [ÿproductÿdetailsÿ],Preroll 1.0g,3272,1.19,5.42,4.6x,412266
Farmer LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,1590,1.19,6.73,5.7x,416966
Kouchlock Productions        [ÿproductÿdetailsÿ],Preroll 1.0g,10075,1.2,6.71,5.6x,412630
Nettles Unlimited        [ÿproductÿdetailsÿ],Preroll 0.5g,3557,1.22,3.56,2.9x,412762
Washington Packaging And Processing        [ÿproductÿdetailsÿ],Preroll 1.0g,3710,1.23,4.05,3.3x,424045
Green Haven LLC        [ÿproductÿdetailsÿ],Preroll 0.5g,1250,1.25,4.97,4.0x,421941
American Sensi Company        [ÿproductÿdetailsÿ],Preroll 1.0g,1250,1.25,4.83,3.9x,412735
Kush Valley        [ÿproductÿdetailsÿ],Preroll 1.0g,18898,1.26,4.29,3.4x,416606
Solar Joes        [ÿproductÿdetailsÿ],Preroll 0.5g,10057,1.28,4.53,3.5x,415819
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 0.5g,4402,1.3,4.65,3.6x,412097
Vulcan Mountain Farm        [ÿproductÿdetailsÿ],Preroll 0.5g,4640,1.3,4.16,3.2x,413711
Okanogan Natural Farms        [ÿproductÿdetailsÿ],Preroll 1.25g,1678,1.3,4.41,3.4x,413170
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 1.0g,6469,1.37,4.76,3.5x,412097
Emerald City Growers        [ÿproductÿdetailsÿ],Preroll 1.0g,1967,1.38,5.08,3.7x,416433
Quality Cannabis Producing And Processing        [ÿproductÿdetailsÿ],Flower 1.0g,1802,1.38,4.84,3.5x,412130
Perma        [ÿproductÿdetailsÿ],Preroll 0.75g,1454,1.39,4.11,2.9x,416124
Fc Processor-3        [ÿproductÿdetailsÿ],Flower 1.0g,5659,1.39,4.96,3.6x,413952
Golden Tree        [ÿproductÿdetailsÿ],Preroll 0.5g,38780,1.41,4.36,3.1x,416107
Leef        [ÿproductÿdetailsÿ],Preroll 0.5g,4827,1.42,4.68,3.3x,413085
Budco Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,7332,1.43,4.46,3.1x,412902
Mno        [ÿproductÿdetailsÿ],Preroll 0.5g,1440,1.44,4.35,3.0x,413090
Okanogan Natural Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,11905,1.44,5.08,3.5x,413170
Green Freedom        [ÿproductÿdetailsÿ],Preroll 0.5g,21611,1.45,4.7,3.2x,412515
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 0.75g,1643,1.45,5.41,3.7x,412097
Tumbleweed Farm        [ÿproductÿdetailsÿ],Flower 1.0g,1600,1.46,6.34,4.3x,412084
Pacific Northwest Growers        [ÿproductÿdetailsÿ],Preroll 0.5g,2618,1.5,4.75,3.2x,412068
Root Down        [ÿproductÿdetailsÿ],Preroll 0.5g,1050,1.5,4.89,3.3x,412273
Green Island Growers        [ÿproductÿdetailsÿ],Preroll 0.5g,4668,1.5,4.77,3.2x,412950
Sitka Packaging        [ÿproductÿdetailsÿ],Preroll 0.5g,18770,1.5,4.64,3.1x,412952
Blacksmith Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,5946,1.5,4.45,3.0x,413622
Alis Group        [ÿproductÿdetailsÿ],Preroll 0.5g,2452,1.5,4.72,3.1x,415700
Surefire Growers        [ÿproductÿdetailsÿ],Preroll 0.5g,10544,1.5,4.63,3.1x,415813
Walden        [ÿproductÿdetailsÿ],Preroll 0.5g,1612,1.5,4.9,3.3x,416445
