Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Okanogan Natural Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,1654,0.47,3.78,8.1x,413170
Okanogan Natural Farms        [ÿproductÿdetailsÿ],Preroll 0.75g,4071,0.48,3.55,7.4x,413170
Ninja Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,2120,0.98,3.07,3.1x,417001
Eco Ventures        [ÿproductÿdetailsÿ],Preroll 0.5g,1150,1,1.8,1.8x,416853
Cowlitz County Cannabis Cultivation        [ÿproductÿdetailsÿ],Preroll 0.75g,7349,1,3.58,3.6x,416502
Northwest Grown Products        [ÿproductÿdetailsÿ],Preroll 0.5g,2073,1.01,3.77,3.8x,416462
Green & Golden        [ÿproductÿdetailsÿ],Preroll 0.5g,1798,1.07,3.32,3.1x,415710
Sourface        [ÿproductÿdetailsÿ],Preroll 1.0g,11990,1.09,3.97,3.6x,412679
Nettles Unlimited        [ÿproductÿdetailsÿ],Preroll 0.5g,2800,1.23,3.76,3.1x,412762
Agrijuana        [ÿproductÿdetailsÿ],Preroll 0.5g,6326,1.24,4.8,3.9x,415998
Rainier Acres        [ÿproductÿdetailsÿ],Preroll 0.5g,2025,1.25,4.84,3.9x,416942
Shelby Eckroth        [ÿproductÿdetailsÿ],Preroll 0.5g,4546,1.25,3.55,2.8x,416968
Cordus        [ÿproductÿdetailsÿ],Preroll 0.5g,2600,1.25,5.23,4.2x,418921
Fc Processor-3        [ÿproductÿdetailsÿ],Preroll 1.0g,4260,1.25,6.18,4.9x,413952
Application Software Products        [ÿproductÿdetailsÿ],Preroll 1.0g,1250,1.25,4.84,3.9x,415727
Cowlitz County Cannabis Cultivation        [ÿproductÿdetailsÿ],Preroll 1.0g,1832,1.25,3.88,3.1x,416502
Kush Valley        [ÿproductÿdetailsÿ],Preroll 1.0g,16061,1.25,4.25,3.4x,416606
Okanogan Natural Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,3273,1.26,4.49,3.6x,413170
Agro Technic        [ÿproductÿdetailsÿ],Preroll 1.0g,2782,1.3,4.45,3.4x,412266
American Sensi Company        [ÿproductÿdetailsÿ],Preroll 1.0g,1653,1.3,4.15,3.2x,412735
Emerald City Growers        [ÿproductÿdetailsÿ],Preroll 1.0g,4240,1.31,4.9,3.7x,416433
Vulcan Mountain Farm        [ÿproductÿdetailsÿ],Preroll 0.5g,2425,1.32,3.95,3.0x,413711
Mno        [ÿproductÿdetailsÿ],Preroll 0.5g,2025,1.35,3.69,2.7x,413090
Going Green        [ÿproductÿdetailsÿ],Preroll 1.0g,1458,1.35,5.9,4.4x,413110
Fc Processor-3        [ÿproductÿdetailsÿ],Flower 1.0g,6927,1.36,6.4,4.7x,413952
Golden Tree        [ÿproductÿdetailsÿ],Preroll 0.5g,38775,1.39,4.51,3.2x,416107
Quantum Capital Advisors        [ÿproductÿdetailsÿ],Preroll 1.0g,4636,1.42,4.73,3.3x,413156
Budco Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,10255,1.44,4.46,3.1x,412902
Solar Joes        [ÿproductÿdetailsÿ],Preroll 0.5g,15762,1.44,4.39,3.0x,415819
