Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Ninja Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,11190,0.79,2.9,3.7x,417001
Sourface        [ÿproductÿdetailsÿ],Preroll 1.0g,20142,0.86,3.03,3.5x,412679
NW Nectar        [ÿproductÿdetailsÿ],Edible,2460,0.86,3.79,4.4x,415864
Kali Products        [ÿproductÿdetailsÿ],Preroll 0.5g,4413,0.9,3.32,3.7x,416973
Eco Ventures        [ÿproductÿdetailsÿ],Preroll 0.5g,5310,0.98,3.6,3.7x,416853
Green & Golden        [ÿproductÿdetailsÿ],Preroll 0.5g,1035,0.99,3.73,3.8x,415710
Kouchlock Productions        [ÿproductÿdetailsÿ],Preroll 0.5g,1095,1,3.66,3.7x,412630
Blue Sky Growers        [ÿproductÿdetailsÿ],Preroll 0.5g,1120,1,3.27,3.3x,412969
Cowlitz County Cannabis Cultivation        [ÿproductÿdetailsÿ],Preroll 0.75g,1250,1,3.94,3.9x,416502
Farmer LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,3609,1,4.59,4.6x,416966
Bc Labs        [ÿproductÿdetailsÿ],Preroll 1.0g,3250,1,4.14,4.1x,417135
Starleaf        [ÿproductÿdetailsÿ],Flower 1.0g,7141,1,3.93,3.9x,415815
Caldwell Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,5128,1,2.93,2.9x,417087
Tahoma Growers        [ÿproductÿdetailsÿ],Flower 1.0g,1325,1,5.57,5.6x,417121
Evergreen Nirvana        [ÿproductÿdetailsÿ],Preroll 1.0g,2740,1.02,3.81,3.7x,412263
Okanogan Natural Farms        [ÿproductÿdetailsÿ],Preroll 0.75g,2850,1.03,3.2,3.1x,413170
Washington Packaging And Processing        [ÿproductÿdetailsÿ],Preroll 1.0g,15937,1.03,3.83,3.7x,424045
Okanogan Natural Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,2998,1.07,4.17,3.9x,413170
Nettles Unlimited        [ÿproductÿdetailsÿ],Preroll 0.5g,1135,1.08,3.33,3.1x,412762
Northwest Grown Products        [ÿproductÿdetailsÿ],Preroll 0.5g,3565,1.15,4.33,3.8x,416462
Symington Holdings Ii        [ÿproductÿdetailsÿ],Preroll 1.0g,11400,1.2,3.89,3.3x,415777
Quantum Capital Advisors        [ÿproductÿdetailsÿ],Preroll 1.0g,2992,1.23,5.84,4.8x,413156
Mno        [ÿproductÿdetailsÿ],Preroll 0.5g,1274,1.25,4.2,3.4x,413090
Green Haven LLC        [ÿproductÿdetailsÿ],Preroll 0.5g,3538,1.25,5.24,4.2x,421941
Top Shelf        [ÿproductÿdetailsÿ],Preroll 0.5g,2706,1.25,4.44,3.5x,423396
Jbc Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1755,1.25,4.87,3.9x,412196
Loaded Soda        [ÿproductÿdetailsÿ],Preroll 1.0g,1000,1.25,4.43,3.5x,417192
Orgrow        [ÿproductÿdetailsÿ],Preroll 0.75g,6949,1.27,3.97,3.1x,412784
