Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Kali Products        [ÿproductÿdetailsÿ],Preroll 0.5g,3004,0.81,3.17,3.9x,416973
Ninja Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,2605,0.86,2.92,3.4x,417001
Eco Ventures        [ÿproductÿdetailsÿ],Preroll 0.5g,1479,0.9,4.02,4.5x,416853
North Coast Concentrates        [ÿproductÿdetailsÿ],Infused,1724,0.9,8.13,9.0x,79912
Green & Golden        [ÿproductÿdetailsÿ],Preroll 0.5g,2693,0.97,2.94,3.0x,415710
Okanogan Natural Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,5381,0.97,4.14,4.3x,413170
Nettles Unlimited        [ÿproductÿdetailsÿ],Preroll 0.5g,1800,1,3.45,3.5x,412762
Green Volcano Hemp Products        [ÿproductÿdetailsÿ],Preroll 1.0g,1960,1,4.2,4.2x,412163
Evergreen Nirvana        [ÿproductÿdetailsÿ],Preroll 1.0g,1730,1,4.19,4.2x,412263
Fantasy Farms LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,9711,1,3.21,3.2x,413858
Black Diamond Cannabis        [ÿproductÿdetailsÿ],Preroll 1.0g,2098,1,4.26,4.3x,416511
Caldwell Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,2940,1,2.93,2.9x,417087
My Weed Bunny        [ÿproductÿdetailsÿ],Infused,1449,1,8.31,8.3x,412031
Washington Packaging And Processing        [ÿproductÿdetailsÿ],Preroll 1.0g,10231,1.05,3.99,3.8x,424045
Northwest Grown Products        [ÿproductÿdetailsÿ],Preroll 0.5g,4494,1.08,4.8,4.4x,416462
Wildfire Cannabis Company        [ÿproductÿdetailsÿ],Preroll 0.5g,1935,1.1,3.44,3.1x,416902
Quantum Capital Advisors        [ÿproductÿdetailsÿ],Preroll 1.0g,2200,1.1,4.93,4.5x,413156
Sourface        [ÿproductÿdetailsÿ],Preroll 1.0g,7695,1.16,3.33,2.9x,412679
Orgrow        [ÿproductÿdetailsÿ],Preroll 0.75g,10098,1.17,4.09,3.5x,412784
Symington Holdings Ii        [ÿproductÿdetailsÿ],Preroll 1.0g,6300,1.18,5.11,4.3x,415777
Green Labs        [ÿproductÿdetailsÿ],Preroll 1.0g,6982,1.21,4.85,4.0x,413076
Rainier Acres        [ÿproductÿdetailsÿ],Preroll 0.5g,1263,1.22,4.61,3.8x,416942
Green Haven LLC        [ÿproductÿdetailsÿ],Preroll 0.5g,8442,1.22,4.32,3.5x,421941
Cordus        [ÿproductÿdetailsÿ],Preroll 0.5g,2838,1.25,4.52,3.6x,418921
Top Shelf        [ÿproductÿdetailsÿ],Preroll 0.5g,1794,1.25,4.71,3.8x,423396
Gensys One        [ÿproductÿdetailsÿ],Preroll 1.0g,1250,1.25,4.61,3.7x,412593
Tahoma Growers        [ÿproductÿdetailsÿ],Flower 1.0g,1250,1.25,5.34,4.3x,417121
